Baryon Density,chi-square results,p-value
CAMB: 0.015,55.744418608059505,0.9999821346833759
CAMB: 0.01515,53.89193455389719,0.9999656990995834
CAMB: 0.0153,52.060833918096804,0.9999352113979199
CAMB: 0.01545,50.242800860124476,0.9998793007129604
CAMB: 0.0156,48.528970961959125,0.9997849605089376
CAMB: 0.01575,46.786151885842585,0.9996167976638414
CAMB: 0.0159,45.058181014512215,0.999327342468966
CAMB: 0.01605,43.35889540603992,0.9988424830612536
CAMB: 0.0162,41.74432042208328,0.9980812768259412
CAMB: 0.01635,40.11067784055757,0.9968354253843158
CAMB: 0.0165,38.57502606262828,0.9949892977929998
CAMB: 0.01665,37.02506446267017,0.9921221018552848
CAMB: 0.0168,35.535907548163706,0.9879713663113501
CAMB: 0.01695,34.02431510541726,0.9817433407304362
CAMB: 0.0171,32.54331930601951,0.9728776108125291
CAMB: 0.01725,31.153354289685744,0.9611645977006226
CAMB: 0.0174,29.774195358739817,0.9452565768866307
CAMB: 0.01755,28.393185536786888,0.9238515033659571
CAMB: 0.0177,27.066992778102104,0.8968977146916266
CAMB: 0.01785,25.77849115879186,0.8635196237981597
CAMB: 0.018,24.5661351990399,0.8246756642016664
CAMB: 0.01815,23.339351249537152,0.7772747164114338
CAMB: 0.0183,22.130106025002036,0.7221709890871468
CAMB: 0.01845,20.97312523493035,0.6617122261535382
CAMB: 0.0186,19.856668426477146,0.5967510282704809
CAMB: 0.01875,18.74907369519724,0.5269637319416912
CAMB: 0.0189,17.725242510272516,0.45914420488873664
CAMB: 0.01905,16.705199360529292,0.3901677627958242
CAMB: 0.0192,15.711671930416575,0.3235795855510267
CAMB: 0.01935,14.780946649784116,0.26358547152416123
CAMB: 0.0195,13.913679506966796,0.21130013016871374
CAMB: 0.01965,13.012971789448308,0.16209367029658228
CAMB: 0.0198,12.172568646487122,0.12188294689832402
CAMB: 0.01995,11.35584254798404,0.08871241655335027
CAMB: 0.0201,10.558131631743134,0.062190607942862686
CAMB: 0.02025,9.821934282502571,0.04279769665034039
CAMB: 0.0204,9.136819888203505,0.028862759508712532
CAMB: 0.02055,8.44498228724678,0.01839379967446797
CAMB: 0.0207,7.787471012966781,0.01131548830587914
CAMB: 0.02085,7.220361865202975,0.007057447594335908
CAMB: 0.021,6.667206157367815,0.004212231716032355
CAMB: 0.02115,6.114923326284052,0.0023587944144799478
CAMB: 0.0213,5.62553585283313,0.0013238078097692618
CAMB: 0.02145,5.142850310931455,0.0006982279618302778
CAMB: 0.0216,4.720216087286621,0.00037258706015630416
CAMB: 0.02175,4.354347827353989,0.00020354775543396375
CAMB: 0.0219,3.975152014155734,0.00010133941975709604
CAMB: 0.02205,3.630332500013714,4.988181818021964e-05
CAMB: 0.0222,3.379814208104541,2.8271479442620873e-05
CAMB: 0.02235,3.1242066687939243,1.5009246558284062e-05
CAMB: 0.0225,2.8837065680062137,7.806690896394741e-06
CAMB: 0.02265,2.700246262574317,4.5378536422946425e-06
CAMB: 0.0228,2.5388606058905747,2.715934512731444e-06
CAMB: 0.02295,2.4014550738536045,1.702368189748782e-06
CAMB: 0.0231,2.338725588001026,1.3615780056763782e-06
CAMB: 0.02325,2.269769268842907,1.0567538908379248e-06
CAMB: 0.0234,2.763970637669515,5.5045441043066745e-06
CAMB: 0.02355,2.844935781817342,6.984544431598572e-06
CAMB: 0.0237,2.931132342522556,8.924304914392778e-06
CAMB: 0.02385,3.02460906042242,1.1534020175951731e-05
CAMB: 0.024,3.1712337234427705,1.6939247361458243e-05
CAMB: 0.02415,3.3431769102517874,2.5909945039037652e-05
CAMB: 0.0243,3.5545618800077357,4.2223657325535235e-05
CAMB: 0.02445,3.802471025787705,7.175424907923666e-05
CAMB: 0.0246,4.066756144231274,0.00012081502956562407
CAMB: 0.02475,4.376321820278067,0.00021145006916833964
CAMB: 0.0249,4.747925566499369,0.00038909730135072707
CAMB: 0.02505,5.127328995380803,0.0006831228937069778
CAMB: 0.0252,5.5273436962024,0.001169303607574057
CAMB: 0.02535,5.982439588876533,0.0020302359661378278
CAMB: 0.0255,6.452958820797108,0.0033916829673216187
CAMB: 0.02565,6.96504578948637,0.0056026736877075045
CAMB: 0.0258,7.511208867770778,0.009050796219312596
CAMB: 0.02595,8.086729841206925,0.014223290634613583
CAMB: 0.0261,8.686261147234617,0.021664976566287075
CAMB: 0.02625,9.338056753159716,0.03256675023167044
CAMB: 0.0264,10.02557644221206,0.0476879422863874
CAMB: 0.02655,10.734097106181965,0.06754102454997912
CAMB: 0.0267,11.471541718187385,0.09304354973026485
CAMB: 0.02685,12.240612906068106,0.12491555819219313
CAMB: 0.027,13.03319565052192,0.16313264934956861
CAMB: 0.02715,13.879135212146814,0.20930907757046424
CAMB: 0.0273,14.736548350982702,0.2608117257341297
CAMB: 0.02745,15.623845712190233,0.3177910393805512
CAMB: 0.0276,16.55859247980014,0.3802553557783266
CAMB: 0.02775,17.543056296231818,0.44687241747623996
CAMB: 0.0279,18.52532135249172,0.5123564855396093
CAMB: 0.02805,19.550582237708795,0.5779374695914722
CAMB: 0.0282,20.602949099438913,0.6408513777418381
CAMB: 0.02835,21.676544643959595,0.6993514128718366
CAMB: 0.0285,22.803394325114684,0.7538875207650748
CAMB: 0.02865,23.94330119122828,0.8016637514008763
CAMB: 0.0288,25.11038414471487,0.8430592202453897
CAMB: 0.02895,26.320660772616,0.8785007021207719
CAMB: 0.0291,27.57648144534769,0.90807487373362
CAMB: 0.02925,28.831091760694235,0.9313111929568081
CAMB: 0.0294,30.132879000988492,0.9498684931496918
CAMB: 0.02955,31.450665526757508,0.9639966533485498
CAMB: 0.0297,32.803124523225875,0.9746725185626426
CAMB: 0.02985,34.193920117899495,0.9825670387061222
CAMB: 0.03,35.59078968796241,0.9881550522407827
