Type,TT First Peak Position,TT Second Peak Position,TT First Peak Amplitude,TT Second Peak Amplitude,TT First Peak Width,TT Second Peak Width,"TT 1,2 Amp Ratio",TE First Peak Position,TE Second Peak Position,TE Third Peak Position,TE First Antipeak Position,TE First Peak Amplitude,TE Second Peak Amplitude,TE Third Peak Amplitude,TE First Antipeak Amplitude,TE First Peak Width,TE Second Peak Width,TE Third Peak Width,TE First Antipeak Width,"TE -1,2 Amp Ratio"
Planck,220,535,5509.385412040726,2425.989247313166,229.72294056845396,140.44465355588912,2.270985091192175,310,590,915,150,109.20280091607036,20.16877638832024,56.932571986917246,40.29834138225915,148.3705941934376,119.86462930167988,149.6430227882908,106.21211607491149,1.9980558367237373
CAMB: 0.015,217,519,4788.56179,2672.61776,233.19740883713712,133.5021592053535,1.7917121788489498,297,584,897,146,103.415949,27.2665745,37.7127451,37.9792212,136.05138022162862,126.79519181676756,139.9114681383478,92.52289025733738,1.3928856813311843
CAMB: 0.01515,217,519,4799.34113,2667.9776,233.0376903763888,133.6053762788361,1.7988685999462661,297,584,897,147,103.583978,27.3083028,38.1764706,38.0750165,136.25445376600467,126.67628393819871,140.02109185164102,92.61900094154304,1.3942652086016856
CAMB: 0.0153,217,520,4810.15612,2663.28639,232.8814256484674,133.70457173363405,1.8060979615489265,297,584,897,147,103.750686,27.3482664,38.6333411,38.173231,136.45922196106713,126.55890869416692,140.13280992474597,92.71327197166345,1.395819041751034
CAMB: 0.01545,217,520,4821.00182,2658.59033,232.72932274377723,133.79893562212413,1.813367695503504,297,584,897,147,103.915898,27.3853538,39.0859525,38.2718867,136.66543585637555,126.44464151926968,140.2416823390688,92.80850217624652,1.3975312124687613
CAMB: 0.0156,217,520,4831.87939,2653.82918,232.58134542198275,133.8998518159434,1.820719821160456,298,585,898,147,104.083709,27.4228831,39.5307418,38.3710196,136.87131614972546,126.33214124852793,140.3508341397196,92.90469555356528,1.399233605747311
CAMB: 0.01575,217,521,4842.78832,2649.03038,232.43725596654207,133.99717988472668,1.8281361952519395,298,585,898,147,104.254714,27.4597167,39.976251,38.4705796,137.07438994691316,126.21891015115852,140.45800157169026,93.00183427311424,1.4009823925095337
CAMB: 0.0159,217,521,4853.73251,2644.23457,232.29666805816197,134.08781348901073,1.8355907471552344,298,585,898,147,104.42435,27.4937233,40.4152456,38.5704907,137.2794064394212,126.10623343246323,140.56431793736408,93.09679881280356,1.4028834974126623
CAMB: 0.01605,217,521,4864.7067,2639.38633,232.15982621210003,134.18649645847722,1.8431203665436882,298,585,898,147,104.592399,27.5249522,40.8482876,38.6707926,137.48579900834514,125.99649185842452,140.67032785310778,93.19258160642201,1.4049358676088817
CAMB: 0.0162,217,522,4875.71204,2634.49032,232.02697788945306,134.28337831635793,1.8507230802806671,299,585,899,147,104.762283,27.5532858,41.2760361,38.7714633,137.69076241981043,125.890590430506,140.77867429629248,93.28917811925345,1.407144816826166
CAMB: 0.01635,217,522,4886.7481,2629.63606,231.89876025040365,134.3706999303995,1.858336282474009,299,585,899,147,104.936138,27.5775497,41.7043717,38.872475,137.8944079787616,125.78427489394687,140.88012321204098,93.38665039350705,1.4095695746312082
CAMB: 0.0165,218,522,4897.8263,2624.71826,231.7736354332138,134.46709063708386,1.8660388715396827,299,586,899,147,105.10833,27.6049797,42.1261532,38.9738338,138.09881892008502,125.67605784461512,140.98244145622368,93.48499661482981,1.4118406977129565
CAMB: 0.01665,218,522,4908.94776,2619.7605,231.65138234084492,134.5616421190167,1.8738154728266192,299,586,899,148,105.278837,27.6310652,42.5432896,39.0766818,138.3052757095262,125.57003540885353,141.08641494390895,93.5825961498705,1.414230016727694
CAMB: 0.0168,218,523,4920.09965,2614.80378,231.53256238593406,134.64851674873665,1.8816324527418267,300,586,900,148,105.45006,27.6544474,42.9561033,39.1810206,138.51289040864938,125.4678204319041,141.18812139474562,93.67870522204184,1.4168072148858053
CAMB: 0.01695,218,523,4931.28206,2609.82403,231.41708967921886,134.74248790896627,1.8895074929630407,300,586,900,148,105.626165,27.6751969,43.3670798,39.2856822,138.71653144332146,125.36604495922893,141.28903770032787,93.77315938298625,1.4195267459867646
CAMB: 0.0171,218,523,4942.49311,2604.80102,231.30485792781718,134.83463882399332,1.8974551499522987,300,586,900,148,105.800585,27.6934082,43.7721841,39.3906006,138.9220403922588,125.26465643277277,141.3901206288566,93.86849711825818,1.4223818287559131
CAMB: 0.01725,218,524,4953.7319,2599.78849,231.19575842770502,134.91956328758636,1.9054365072598656,300,587,900,148,105.973323,27.710626,44.1704063,39.4957486,139.12879239348985,125.16591708070587,141.49057047083932,93.964524156702,1.4252925430122003
CAMB: 0.0174,218,524,4965.00351,2594.76049,231.08974826856632,135.0108657929398,1.9134727575569024,301,587,901,148,106.145948,27.7298769,44.5701374,39.6011659,139.33535041645533,125.0672188811435,141.5896511457638,94.06160201753936,1.4281046411713425
CAMB: 0.01755,218,524,4976.30192,2589.69436,230.98698535969095,135.10019710830136,1.9215788538072887,301,587,901,148,106.324134,27.7464217,44.9644308,39.7068438,139.53937693024463,124.96793740474584,141.68840786575674,94.15937346225162,1.4310617862482788
CAMB: 0.0177,218,525,4987.6253,2584.64053,230.8878586392057,135.18411741637527,1.9297172052006781,301,587,901,148,106.500278,27.7590471,45.3529602,39.8128244,139.7440487389319,124.86828083229261,141.78546179294938,94.25815536766763,1.4342287851804536
CAMB: 0.01785,218,525,4998.97945,2579.57337,230.79124839141343,135.27388090423847,1.9379093877062312,301,587,902,148,106.674809,27.7706131,45.7382148,39.9189725,139.94988311919647,124.7743415055836,141.88497597515072,94.35909997881467,1.4374537701510093
CAMB: 0.018,218,525,5010.36023,2574.47618,230.69758745633624,135.361815996423,1.9461668625731856,302,588,902,149,106.848899,27.7798502,46.1240437,40.0254283,140.1566868460986,124.68209291386256,141.98029518848148,94.46153218305028,1.440807924155041
CAMB: 0.01815,218,526,5021.76838,2569.37242,230.6068934224058,135.44501959418477,1.954472750197887,302,588,902,149,107.028772,27.7927461,46.5019579,40.1343898,140.36040672317543,124.58574712216489,142.0776710114294,94.5616631267365,1.4440598872667716
CAMB: 0.0183,218,526,5033.20261,2564.27507,230.51905748348918,135.53230455568462,1.962816964874209,302,588,902,149,107.206837,27.8029,46.8728542,40.243541,140.5659943656298,124.48969035479593,142.17723348762922,94.66255869861583,1.4474583946278985
CAMB: 0.01845,218,526,5044.66399,2559.14411,230.4340369203111,135.61794456919932,1.9712309167302031,302,588,903,149,107.383011,27.8109091,47.247075,40.352869,140.77274474108194,124.40031567231495,142.2692834525418,94.7642570900326,1.4509726688510156
CAMB: 0.0186,218,527,5056.15021,2554.00855,230.35178757482385,135.6998707596942,1.979691966966986,303,588,903,149,107.558685,27.8165025,47.6154127,40.4623549,140.97934211454847,124.3103095366331,142.36486154761542,94.86671289226503,1.4546169095126176
CAMB: 0.01875,218,527,5067.6628,2548.88771,230.27226819956968,135.78573839919187,1.988185976227254,303,588,903,149,107.74009,27.8195891,47.9771487,40.5720069,141.18308699822336,124.22018089354981,142.4616486288379,94.96968164251027,1.4583970580643837
CAMB: 0.0189,218,527,5079.20041,2543.73641,230.19560987966918,135.8699330348863,1.9967479295545407,303,589,904,149,107.919524,27.826935,48.3388541,40.6817929,141.38743549649362,124.12706794427288,142.5539435914875,95.07060125695494,1.4619573769083802
CAMB: 0.01905,218,528,5090.76499,2538.61982,230.12189674850416,135.94913549614864,2.005327835973486,303,589,904,149,108.09717,27.8294392,48.6976549,40.7917277,141.59302526866352,124.03788054563415,142.64765096203757,95.17216774979923,1.4657761303361083
CAMB: 0.0192,218,528,5102.35259,2533.486,230.05052246970186,136.0331440544034,2.013965180782527,304,589,904,149,108.27462,27.8316108,49.0492527,40.9018138,141.7991574884583,123.9502501458503,142.74167674262026,95.27448035311706,1.46961719513554
CAMB: 0.01935,219,528,5113.98442,2528.30815,229.98077202882024,136.11594399329084,2.0226903196115553,304,589,905,149,108.457262,27.8328135,49.3988553,41.0120149,142.00125332587157,123.8631862297691,142.8365195198137,95.37764147452779,1.4735130855527774
CAMB: 0.0195,219,529,5125.65931,2523.14771,229.91294724769358,136.19597347312998,2.031454317829058,304,590,905,150,108.638145,27.8312236,49.7489616,41.1240405,142.20589161182986,123.7800761083937,142.92907903382047,95.47923418309128,1.4776224391370274
CAMB: 0.01965,219,529,5137.35296,2518.00737,229.84793150977788,136.27861317804036,2.04024540245885,304,590,905,150,108.816971,27.8335203,50.092148,41.2369102,142.41208912396095,123.69330723405858,143.01972904114803,95.58063994988693,1.4815556837774486
CAMB: 0.0198,219,529,5149.07175,2512.84025,229.7853625582875,136.3571736005918,2.049104295428251,305,590,906,150,108.995322,27.8338494,50.4302699,41.3498863,142.61811928149262,123.60694133660377,143.11526578759208,95.68061807966158,1.4855971125574892
CAMB: 0.01995,219,530,5160.81665,2507.67934,229.7251301881243,136.43717553288292,2.058005011916715,305,590,906,150,109.179331,27.8311269,50.7703191,41.4629994,142.821218558614,123.52109675638553,143.20482520370115,95.78009036240107,1.4898067027246389
CAMB: 0.0201,219,530,5172.57322,2502.53588,229.6667880458785,136.51469282874376,2.066932690691332,305,590,906,150,109.361373,27.8219785,51.1044749,41.5761086,143.025117006151,123.44576591536452,143.2966885517211,95.8804515686241,1.4943620418655703
CAMB: 0.02025,219,530,5184.36363,2497.36874,229.61110344769963,136.59340714037904,2.075930377025541,305,591,906,150,109.541401,27.8171677,51.4326402,41.6893871,143.23009405454863,123.3643261038228,143.3899517085706,95.98146132769156,1.498692733552453
CAMB: 0.0204,219,531,5196.1758,2492.23874,229.55791296584673,136.67088945851015,2.0849430339887904,306,591,907,150,109.72082,27.8118737,51.7635139,41.8026897,143.4356817779249,123.27813905587061,143.47740260590638,96.0831152687451,1.5030519033314897
CAMB: 0.02055,219,531,5208.0092,2487.09831,229.50662319768526,136.74974109151714,2.0940101881215947,306,591,907,150,109.905758,27.8071961,52.089042,41.9160654,143.63711433562906,123.19639873943402,143.5698231804157,96.18563905384613,1.5073819470780803
CAMB: 0.0207,219,531,5219.86347,2481.93424,229.4574208199005,136.82779124405732,2.1031433411386438,306,591,907,150,110.08876,27.8002094,52.4086013,42.0294864,143.8399486847611,123.11721844399449,143.66039919434047,96.28805852169208,1.5118406410276897
CAMB: 0.02085,219,532,5231.73843,2476.7785,229.4104112493647,136.9066533656806,2.112315828807461,306,591,908,151,110.269802,27.7907022,52.7294114,42.144192,144.04451903798983,123.03820843274536,143.74907269569155,96.38708025552694,1.5164853229221391
CAMB: 0.021,219,532,5243.63312,2471.62944,229.36546892105488,136.985722178804,2.1215288324126775,307,592,908,151,110.450004,27.7841031,53.0463132,42.2602433,144.2499202254468,122.95748726914292,143.8388586501319,96.48524150164526,1.5210224043546685
CAMB: 0.02115,219,532,5255.55336,2466.47434,229.3222112222209,137.06188130931184,2.1307958792711377,307,592,908,151,110.636146,27.7771925,53.3572999,42.3762103,144.45224294517485,122.88015746852489,143.9289944604219,96.58429827042897,1.5255757146803082
CAMB: 0.0213,219,533,5267.49225,2461.33315,229.28120076352639,137.140579331151,2.140097227390774,307,592,909,151,110.82017,27.7678239,53.6687378,42.4922667,144.6550165827114,122.80298760035237,144.01887973976557,96.68375767262054,1.5302699575244714
CAMB: 0.02145,219,533,5279.45179,2456.21182,229.24212625700457,137.21732530456575,2.1494285415498084,307,592,909,151,111.002224,27.7565934,53.9778456,42.6083566,144.85891526596689,122.7241135501913,144.1057827485222,96.78414382076262,1.5350715408757618
CAMB: 0.0216,220,533,5291.44587,2451.06833,229.20447284151396,137.29132759421094,2.1588324589873835,308,592,909,151,111.183497,27.743147,54.2805458,42.7244658,145.06344445774732,122.65014785857579,144.1968285416433,96.88538074503236,1.5400006999926863
CAMB: 0.02175,220,534,5303.48179,2445.92767,229.1684119745147,137.37206975597604,2.1682905243064687,308,593,910,151,111.370018,27.7338015,54.5834017,42.8407484,145.26382518518042,122.57344421737207,144.28471646022342,96.98470389900613,1.5447124477327785
CAMB: 0.0219,220,534,5315.53988,2440.85413,229.13445333072073,137.44567885387812,2.1777376266233492,308,593,910,151,111.554558,27.7204021,54.8844869,42.9570185,145.46577056671248,122.49428721951915,144.37052135521662,97.08426154381301,1.5496535131429423
CAMB: 0.02205,220,534,5327.61598,2435.72368,229.10204483370916,137.51847201606125,2.1872825820702286,308,593,910,151,111.737113,27.7070741,55.1795315,43.073292,145.6685969595506,122.4187768170591,144.46080153811477,97.18443235514721,1.5545954742294497
CAMB: 0.0222,220,535,5339.71495,2430.60991,229.07104508893144,137.59762065872405,2.196862165348449,309,593,911,152,111.919375,27.6916749,55.4742102,43.1902669,145.8717224385892,122.34824565537963,144.5472114994203,97.28396427457068,1.5596841670273978
CAMB: 0.02235,220,535,5351.83859,2425.51881,229.04193466664327,137.67090167919105,2.206471690895689,309,594,911,152,112.106678,27.6772058,55.76768,43.3089506,146.0730643168726,122.2741470946537,144.63410808832464,97.38187559030006,1.5647876780971872
CAMB: 0.0225,220,535,5363.97196,2420.40638,229.01517642511612,137.7445659250513,2.2161451912880845,309,594,911,152,112.292148,27.6642644,56.05568,43.4276694,146.27463667171898,122.19720737975126,144.72169359424345,97.4808361037673,1.569811102586194
CAMB: 0.02265,220,536,5376.12547,2415.29515,228.98992719109413,137.82421199554534,2.225866875938537,309,594,912,152,112.475647,27.6492163,56.342226,43.5463292,146.4774722631157,122.12609578635806,144.8090002614489,97.57946491530335,1.5749570883859014
CAMB: 0.0228,220,536,5388.29781,2410.23153,228.96657520832167,137.89557809122726,2.2355934452488055,310,594,912,152,112.658461,27.6323383,56.6282055,43.6650076,146.6807155143181,122.05581684868446,144.89427894483777,97.67671136161447,1.580213991517323
CAMB: 0.02295,220,536,5400.48583,2405.13945,228.94482016627163,137.96954903241743,2.2453940581283134,310,594,912,152,112.846727,27.6131687,56.9089235,43.7836388,146.87983468536243,121.98566483028935,144.97996047826086,97.77456688254628,1.5856071889351837
CAMB: 0.0231,220,537,5412.6916,2400.05998,228.9246996079508,138.04727755265924,2.2552318046651485,310,595,913,152,113.03295,27.5993051,57.1879797,43.9022522,147.0802070470565,121.9129664867587,145.06747885979007,97.87319312675257,1.5907013615353671
CAMB: 0.02325,220,537,5424.9172,2395.04526,228.90650350667158,138.1162649965034,2.265058322947935,310,595,913,152,113.217276,27.5806873,57.4680753,44.0208332,147.28156756366909,121.8403348595956,145.1510075597978,97.97239938316099,1.5960745546758002
CAMB: 0.0234,220,537,5437.15808,2389.97911,228.8896044841431,127.30964796889174,2.2749814244192286,310,595,913,152,113.399402,27.562191,57.7412463,44.1393791,147.48359187443103,121.76999016826517,145.23829905060074,98.07241333851873,1.6014466738148647
CAMB: 0.02355,220,538,5449.41528,2384.92944,228.874349555648,127.134588193799,2.2849377380321996,311,595,914,153,113.588115,27.5417116,58.0135519,44.258318,147.68207563247392,121.69981741718414,145.32332667500953,98.17232856328997,1.6069559743701625
CAMB: 0.0237,221,538,5461.73198,2379.90166,228.8590436958141,126.95796291266544,2.294940195133945,311,596,914,153,113.775081,27.5226795,58.2863223,44.3792816,147.8823842350664,121.63362155926325,145.407410574825,98.26761884485349,1.6124622459088696
CAMB: 0.02385,221,538,5474.06724,2374.86515,228.84529907271119,126.7842785929904,2.30500129238917,311,596,914,153,113.959928,27.5048768,58.5525706,44.500191,148.08359318696668,121.5639830809099,145.49363071285802,98.36340834020265,1.617901847864303
CAMB: 0.024,221,539,5486.41703,2369.84335,228.83320410455008,126.61029279949656,2.3150969155830485,311,596,915,153,114.142654,27.4850557,58.8192363,44.6211198,148.28596832801972,121.49331703691246,145.57662114727748,98.45972075690302,1.6234684145100715
CAMB: 0.02415,221,539,5498.78579,2364.84752,228.8223005287006,126.43684177426525,2.325217902421041,312,596,915,153,114.332068,27.4633018,59.0845919,44.741914,148.4837490501994,121.42636570252103,145.66187129974924,98.55687876408552,1.6291527626878426
CAMB: 0.0243,221,539,5511.1647,2359.83323,228.8129612557873,126.26905884704757,2.335404311600443,312,597,915,153,114.519532,27.4404888,59.3454594,44.8626354,148.68253841306856,121.36199306362766,145.74621791337142,98.65476430706411,1.6349065691570335
CAMB: 0.02445,221,540,5523.56361,2354.83136,228.80488633770025,126.1000970960929,2.3456302238135645,312,597,916,153,114.705117,27.4215155,59.6055021,44.9832745,148.8824592018782,121.29263035056556,145.8307400916823,98.75335797216677,1.640437214347252
CAMB: 0.0246,221,540,5535.97851,2349.86283,228.79844976114924,125.92978805428709,2.3558730489813313,312,597,916,153,114.888543,27.4005252,59.8650762,45.1039723,149.08289077999365,121.22427445593542,145.9135213377939,98.85155597987416,1.6460988236824017
CAMB: 0.02475,221,540,5548.41081,2344.88036,228.79277202464073,125.76213117126576,2.3661807675339137,313,597,916,153,115.077703,27.3777266,60.118588,45.2243717,149.28011073460505,121.16010283113872,145.99841151559303,98.94825609535059,1.6518673139207987
CAMB: 0.0249,221,541,5560.85476,2339.91927,228.78866586408546,125.59385999112345,2.3765156479095113,313,597,917,154,115.266059,27.3530051,60.3735313,45.3447793,149.47738713291048,121.09566174640929,146.08159544494913,99.04584070599863,1.6577622507736818
CAMB: 0.02505,221,541,5573.31234,2334.97869,228.78623311403857,125.42658276130294,2.3868793166587747,313,598,917,154,115.452294,27.3316887,60.6263206,45.4676158,149.67686018582214,121.02692144377602,146.16274200690475,99.14083879928995,1.6635494534957145
CAMB: 0.0252,221,541,5585.78186,2330.02897,228.78529778605062,125.26265108745605,2.3973014635951073,313,598,917,154,115.636384,27.3097685,60.8743066,45.5904089,149.8774512487233,120.96198665205998,146.24965659120892,99.23650647600144,1.6693810092165373
CAMB: 0.02535,221,542,5598.2641,2325.12794,228.78641724937995,125.09904753869603,2.4077230348021197,314,598,918,154,115.824371,27.2845384,61.1239835,45.7133015,150.0751147667448,120.89689474065653,146.33010513982606,99.3330956289841,1.6754288025631396
CAMB: 0.0255,222,542,5610.77109,2320.21887,228.78800921263513,124.93288496749648,2.4182076796918732,314,598,918,154,116.013051,27.2589039,61.371288,45.8359121,150.27229382656674,120.83186943373835,146.41352100179154,99.43012968504569,1.681502391591028
CAMB: 0.02565,222,542,5623.33297,2315.30056,228.78965078115448,124.7704137703962,2.42877018524109,314,599,918,154,116.199664,27.2344194,61.6129044,45.9584192,150.47063700061025,120.76710740997021,146.49828758720503,99.52524573927558,1.6875123543114712
CAMB: 0.0258,222,543,5635.90783,2310.39187,228.79251988394228,124.60416802301279,2.4393731224478383,314,599,919,154,116.384367,27.2119473,61.8570767,46.0808447,150.66934834864057,120.70375462867435,146.57953764439821,99.62047113775728,1.6934048927839869
CAMB: 0.02595,222,543,5648.4918,2305.51941,228.7968184808418,124.44255699949156,2.449986660489664,315,599,919,154,116.571639,27.1872623,62.0982181,46.203167,150.86635161338717,120.63977947958836,146.66195551810654,99.71866060066105,1.6994416903830734
CAMB: 0.0261,222,543,5661.09262,2300.6321,228.80204673235346,124.28369028205668,2.4606683615342066,315,599,919,154,116.760883,27.1608253,62.3342187,46.3253947,151.0619805833843,120.57569718419279,146.74596418329418,99.81480842517702,1.7055959893825465
CAMB: 0.02625,222,544,5673.70565,2295.76584,228.8085301763798,124.12293331909171,2.471378200313321,315,600,920,154,116.948133,27.1340927,62.5733262,46.4475085,151.25830852958882,120.51549390874345,146.82846335394663,99.91182623072567,1.711776730975788
CAMB: 0.0264,222,544,5686.33254,2290.92888,228.8160824822288,123.96143549539079,2.4821078426493974,315,600,920,155,117.133435,27.1106217,62.8091712,46.5714589,151.45678888285917,120.4508716778497,146.90859862487525,100.0069365786449,1.7178307238893014
CAMB: 0.02655,222,544,5698.97021,2286.07682,228.82480722219782,123.80109502421516,2.4929040704765115,316,600,920,155,117.320105,27.0852933,63.0391239,46.6958726,151.65434471191978,120.38625178604991,146.9943528532715,100.10127580530533,1.7240305313585067
CAMB: 0.0267,222,545,5711.61995,2281.24998,228.83459736104885,123.64179824037541,2.503723835649086,316,600,921,155,117.509895,27.0582023,63.274041,46.8201849,151.84967057600434,120.3251355619334,147.0744137457441,100.1939042289467,1.7303509073106456
CAMB: 0.02685,222,545,5724.28158,2276.44858,228.84551339848088,123.48227286972963,2.514566606200259,316,601,921,155,117.697696,27.0292645,63.5038818,46.9443273,152.04591458222816,120.2671312706832,147.15636218392433,100.28741106655922,1.7367963268108904
CAMB: 0.027,222,545,5736.95476,2271.63358,228.85751228447805,123.32553101049763,2.525475415801874,316,601,922,155,117.883534,27.0051593,63.7290713,47.0684009,152.24281143650484,120.20186670050191,147.2406127559193,100.3815604946051,1.7429410571927269
CAMB: 0.02715,222,546,5749.64124,2266.83524,228.8704931885527,123.16888935272146,2.5364177945283752,317,601,922,155,118.069751,26.9792223,63.9588186,47.1923441,152.4392853113605,120.13738100006174,147.320271127434,100.47632921612644,1.7492106916662309
CAMB: 0.0273,223,546,5762.34869,2262.0679,228.88418058228024,123.00859888355438,2.547380956159627,317,601,922,155,118.260072,26.9514627,64.1834287,47.316162,152.63312673503827,120.07885702611406,147.40319704228943,100.57170396594682,1.7556064591626042
CAMB: 0.02745,223,546,5775.10826,2257.29147,228.89791529116127,122.85277464857705,2.5584238175497998,317,601,923,155,118.448439,26.9219661,64.4044926,47.4398602,152.8274922979126,120.02012612450415,147.48456979893535,100.66763678395735,1.7621246540385473
CAMB: 0.0276,223,547,5787.88273,2252.56636,228.91322238121123,122.69808183224796,2.569461585140604,317,602,923,155,118.63487,26.8939473,64.6292869,47.5634376,153.02271809948027,119.95342454721504,147.56639170694598,100.76232077578348,1.7685554697283132
CAMB: 0.02775,223,547,5800.665,2247.8415,228.92954342619913,122.54161482024318,2.580548939949725,318,602,923,156,118.819688,26.8674142,64.8487838,47.6880665,153.21924987949467,119.89204096059484,147.64788145085106,100.85509705280724,1.7749406826057716
CAMB: 0.0279,223,547,5813.46002,2243.09248,228.946502954905,122.38756327520963,2.5917166018941855,318,602,924,156,119.010836,26.8399734,65.0673405,47.8138298,153.41226428526255,119.83372507702302,147.7314591458411,100.94680040741947,1.7814410278066817
CAMB: 0.02805,223,548,5826.26069,2238.36768,228.96506802767428,122.23244676904972,2.6029060114020233,318,602,924,156,119.199501,26.8099036,65.286554,47.9396295,153.60653727738796,119.77391768204791,147.81131476513144,101.0392948830357,1.7881313642619738
CAMB: 0.0282,223,548,5839.07334,2233.67512,228.98421508420017,122.07568685276163,2.6141103904134457,318,603,924,156,119.386364,26.7828416,65.5009948,48.0651932,153.80157780406873,119.71337273109418,147.89329539725554,101.13235327989798,1.7946263476389301
CAMB: 0.02835,223,548,5851.89526,2228.9762,229.00437264584258,121.92193243677269,2.6253735952855846,318,603,925,156,119.571384,26.755898,65.7146443,48.1906115,153.997180405701,119.6547598437005,147.97538708346326,101.22595811071842,1.8011210649704228
CAMB: 0.0285,223,549,5864.72782,2224.28566,229.0254357135638,121.77110022048043,2.6366792384032185,319,603,925,156,119.760793,26.7272003,65.9285752,48.3159069,154.18991740798958,119.59414328059006,148.0540656429755,101.32017868750133,1.8077429120026463
CAMB: 0.02865,223,549,5877.57132,2219.63117,229.0472397736844,121.61657587847571,2.6479945855148537,319,603,925,156,119.95038,26.696844,66.1380681,48.4409965,154.3820525504987,119.53351932986072,148.13851968265658,101.41211892855736,1.8144840079224345
CAMB: 0.0288,223,549,5890.42215,2214.97197,229.07009955952375,121.46477576300094,2.6593664523890115,319,604,926,156,120.137944,26.6686227,66.3485238,48.5660093,154.57495795290959,119.47663451913161,148.21792679516386,101.5049355222625,1.8210917693923503
CAMB: 0.02895,223,550,5903.28298,2210.31379,229.09384609461574,121.31465604590022,2.6707895533692523,319,604,926,156,120.32349,26.6412838,66.5577889,48.6908613,154.76880935314207,119.41710618673642,148.29882012940607,101.59796979926668,1.8276469582145287
CAMB: 0.0291,224,550,5916.20131,2205.69977,229.11706879614798,121.16056274435749,2.6822332714846318,320,604,926,157,120.511632,26.6122507,66.7623339,48.8157673,154.9606746069075,119.35701317377709,148.38165225206,101.69138546279426,1.8343344142628266
CAMB: 0.02925,224,550,5929.13429,2201.0804,229.14090617014483,121.01318984907482,2.693738170582047,320,604,927,157,120.701618,26.5815333,66.9694143,48.9428437,155.15244989064692,119.29965705311793,148.46099889700986,101.78264810181652,1.8412347830965792
CAMB: 0.0294,224,551,5942.07603,2196.46482,229.16592487545165,120.86502360752075,2.7052907817572054,320,605,927,157,120.889672,26.5522338,67.1744404,49.0698061,155.34496939432606,119.24254688873896,148.5418267169665,101.87451686085168,1.8480481329597211
CAMB: 0.02955,224,551,5955.03233,2191.92972,229.1921999051872,120.71337905175835,2.716798935506016,320,605,927,157,121.075937,26.5221461,67.3745273,49.1965789,155.53807076299879,119.17854716468435,148.6235332442128,101.96635054221045,1.854924511557532
CAMB: 0.0297,224,551,5967.99238,2187.34721,229.21905939771108,120.56395653457338,2.7284156592587787,321,605,928,157,121.2625,26.4930443,67.5787213,49.3232231,155.73056964331843,119.11951186178158,148.70378669554282,102.05659563716037,1.8617423706191438
CAMB: 0.02985,224,552,5980.96156,2182.76063,229.24716577762422,120.41756089146338,2.740090451420685,321,605,928,157,121.453177,26.4622423,67.7790594,49.4497331,155.920280208677,119.06537146484095,148.78304860783146,102.14740598168522,1.8686902092193451
CAMB: 0.03,224,552,5993.94347,2178.23061,229.2759029359636,120.27023618383816,2.7517488012896854,321,606,929,157,121.641949,26.4318917,67.975118,49.5760686,156.11067689639705,119.00750898222009,148.86665832795768,102.23874288064772,1.8756156071871313
